word;JR;ER;AB;measure;genre;type;status
niveau;expected;expected;expected;welsh;scifi;interpretability;expected
nouveau;expected;expected;expected;welsh;scifi;interpretability;expected
de;unexpected;unexpected;unexpected;welsh;scifi;interpretability;unexpected
cerveau;expected;expected;expected;welsh;scifi;interpretability;expected
pouvoir;expected;expected;expected;welsh;scifi;interpretability;expected
mètre;expected;unexpected;expected;welsh;scifi;interpretability;expected
moyen;unexpected;expected;expected;welsh;scifi;interpretability;expected
métal;expected;expected;expected;welsh;scifi;interpretability;expected
donnée;expected;expected;expected;welsh;scifi;interpretability;expected
extérieur;expected;expected;expected;welsh;scifi;interpretability;expected
univers;expected;expected;expected;welsh;scifi;interpretability;expected
zone;expected;expected;expected;welsh;scifi;interpretability;expected
conscience;expected;expected;expected;welsh;scifi;interpretability;expected
jaillir;unexpected;unexpected;expected;welsh;scifi;interpretability;unexpected
effectuer;unexpected;unexpected;expected;welsh;scifi;interpretability;unexpected
contact;expected;expected;expected;welsh;scifi;interpretability;expected
masse;expected;expected;expected;welsh;scifi;interpretability;expected
nombre;expected;expected;expected;welsh;scifi;interpretability;expected
nombreux;expected;expected;expected;welsh;scifi;interpretability;expected
créature;expected;expected;expected;welsh;scifi;interpretability;expected
créer;unexpected;expected;expected;welsh;scifi;interpretability;expected
complexe;expected;expected;expected;welsh;scifi;interpretability;expected
puissance;expected;expected;expected;welsh;scifi;interpretability;expected
aucun;unexpected;unexpected;expected;welsh;scifi;interpretability;unexpected
fonctionner;expected;expected;expected;welsh;scifi;interpretability;expected
structure;expected;expected;expected;welsh;scifi;interpretability;expected
ordinateur;expected;expected;expected;welsh;scifi;interpretability;expected
électronique;expected;expected;expected;welsh;scifi;interpretability;expected
se;unexpected;unexpected;unexpected;welsh;scifi;interpretability;unexpected
humain;thematic concept;main character;thematic concept;welsh;scifi;category;thematic concept
planète;space;space;space;welsh;scifi;category;space
système;language pattern;space;thematic concept;welsh;scifi;category;check
sol;space;space;space;welsh;scifi;category;space
utiliser;language pattern;n/o;narrative structure;welsh;scifi;category;check
atteindre;thematic concept;thematic concept;narrative structure;welsh;scifi;category;thematic concept
un;n/o;n/o;n/o;welsh;scifi;category;n/o
le;n/o;n/o;n/o;welsh;scifi;category;n/o
espace;space;space;thematic concept;welsh;scifi;category;space
surface;space;space;space;welsh;scifi;category;space
forme;language pattern;thematic concept;n/o;welsh;scifi;category;check
écran;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
centre;language pattern;space;space;welsh;scifi;category;space
leur;n/o;narrative form;n/o;welsh;scifi;category;n/o
émettre;language pattern;thematic concept;thematic concept;welsh;scifi;category;thematic concept
paroi;language pattern;space;language pattern;welsh;scifi;category;language pattern
vaisseau;thematic concept;space;language pattern;welsh;scifi;category;check
autre;thematic concept;main character;thematic concept;welsh;scifi;category;thematic concept
centaine;language pattern;thematic concept;tonality;welsh;scifi;category;check
former;language pattern;n/o;narrative structure;welsh;scifi;category;check
contrôle;thematic concept;thematic concept;thematic concept;welsh;scifi;category;thematic concept
niveau;language pattern;space;thematic concept;welsh;scifi;category;check
nouveau;thematic concept;thematic concept;thematic concept;welsh;scifi;category;thematic concept
de;n/o;n/o;n/o;welsh;scifi;category;n/o
cerveau;thematic concept;main character;thematic concept;welsh;scifi;category;thematic concept
pouvoir;thematic concept;thematic concept;thematic concept;welsh;scifi;category;thematic concept
mètre;language pattern;n/o;language pattern;welsh;scifi;category;language pattern
moyen;n/o;thematic concept;narrative structure;welsh;scifi;category;check
métal;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
donnée;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
extérieur;space;space;space;welsh;scifi;category;space
univers;space;space;thematic concept;welsh;scifi;category;space
zone;space;space;space;welsh;scifi;category;space
conscience;thematic concept;thematic concept;narrative form;welsh;scifi;category;thematic concept
jaillir;n/o;n/o;narrative structure;welsh;scifi;category;n/o
effectuer;n/o;n/o;narrative structure;welsh;scifi;category;n/o
contact;thematic concept;thematic concept;narrative structure;welsh;scifi;category;thematic concept
masse;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
nombre;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
nombreux;language pattern;thematic concept;tonality;welsh;scifi;category;check
créature;main character;main character;tonality;welsh;scifi;category;main character
créer;n/o;thematic concept;narrative structure;welsh;scifi;category;check
complexe;language pattern;thematic concept;thematic concept;welsh;scifi;category;thematic concept
puissance;thematic concept;thematic concept;thematic concept;welsh;scifi;category;thematic concept
aucun;n/o;n/o;narrative form;welsh;scifi;category;n/o
fonctionner;language pattern;thematic concept;narrative structure;welsh;scifi;category;check
structure;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
ordinateur;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
électronique;language pattern;thematic concept;language pattern;welsh;scifi;category;language pattern
se;n/o;n/o;n/o;welsh;scifi;category;n/o
je;expected;expected;expected;LLR;scifi;interpretability;expected
lui;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
me;unexpected;expected;expected;LLR;scifi;interpretability;expected
planète;expected;expected;expected;LLR;scifi;interpretability;expected
mon;unexpected;expected;expected;LLR;scifi;interpretability;expected
vaisseau;expected;expected;expected;LLR;scifi;interpretability;expected
vous;unexpected;expected;expected;LLR;scifi;interpretability;expected
humain;expected;expected;expected;LLR;scifi;interpretability;expected
monsieur;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
ender;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
le;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
valentin;unexpected;expected;expected;LLR;scifi;interpretability;expected
femme;unexpected;expected;expected;LLR;scifi;interpretability;expected
valleroy;unexpected;expected;expected;LLR;scifi;interpretability;expected
elisa;unexpected;expected;expected;LLR;scifi;interpretability;expected
mère;unexpected;expected;expected;LLR;scifi;interpretability;expected
pyanfar;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
terrien;expected;expected;expected;LLR;scifi;interpretability;expected
écran;expected;expected;expected;LLR;scifi;interpretability;expected
miro;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
système;expected;expected;expected;LLR;scifi;interpretability;expected
weller;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
fran;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
copeau;expected;unexpected;expected;LLR;scifi;interpretability;expected
mme;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
père;unexpected;expected;expected;LLR;scifi;interpretability;expected
louis;unexpected;expected;expected;LLR;scifi;interpretability;expected
cité;unexpected;expected;expected;LLR;scifi;interpretability;expected
chez;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
mu;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
antonin;unexpected;expected;expected;LLR;scifi;interpretability;expected
krug;unexpected;unexpected;expected;LLR;scifi;interpretability;unexpected
espace;expected;expected;expected;LLR;scifi;interpretability;expected
moi;unexpected;expected;expected;LLR;scifi;interpretability;expected
leur;unexpected;expected;unexpected;LLR;scifi;interpretability;unexpected
paris;unexpected;expected;expected;LLR;scifi;interpretability;expected
corson;unexpected;unexpected;unexpected;LLR;scifi;interpretability;unexpected
